"341,01",5,5,10,BET,Entrada,Odd,P60,Media Movel 60,Acertos 60,Media Geral,,,Odd,P120,Media Movel 120,,Odd,P180,Media Movel 180,,Odd,P240,Media Movel 240,,Odd,P300,Media Movel 300,,Odd,P360,Media Movel 360,,Odd,P420,,,Odd,P480,,,Odd,P540,,,Odd,P600,,
62,"341,01",-10,0,0,"1,11",0,1,"-0,5500",-33,"-0,5238","0,0084",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
63,"341,01",-10,0,0,"1,76",0,0,"-0,5667",-34,"-0,5156","0,0082",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
64,"341,01",15,2,0,"4,72",1,0,"-0,5667",-34,"-0,4923","0,0233",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
65,"341,01",-10,0,0,"1,85",0,0,"-0,5500",-33,"-0,4848","0,0075",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
66,"341,01",15,2,0,"12,07",1,0,"-0,5500",-33,"-0,4627","0,0222",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
67,"341,01",15,2,0,"6,05",1,-10,"-0,5333",-32,"-0,4412","0,0215",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
68,"341,01",15,2,0,"4,23",1,0,"-0,3500",-21,"-0,4203","0,0209",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
69,"341,01",-10,0,0,"1,41",0,0,"-0,3333",-20,"-0,4143","0,0060",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
70,"341,01",0,1,0,"2,86",0,-10,"-0,3333",-20,"-0,4085","0,0058",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
71,"341,01",-10,0,0,"1,35",0,0,"-0,1667",-10,"-0,4028","0,0057",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
72,"341,01",0,1,0,"2,06",0,0,"-0,1667",-10,"-0,3973","0,0055",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
73,"341,01",-10,0,0,"1,25",0,1,"-0,1667",-10,"-0,3919","0,0054",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
