Iteração,Precisão Geral,Precisão Modelo
12151,1.3245033112582782,0.0
12152,1.3157894736842104,0.0
12153,1.3071895424836601,0.0
12154,1.2987012987012987,0.0
12155,1.2903225806451613,0.0
12156,1.282051282051282,0.0
12157,1.2738853503184715,0.0
12158,1.2658227848101267,0.0
12159,1.257861635220126,0.0
12160,1.25,0.0
12161,1.2422360248447204,0.0
12162,1.2345679012345678,0.0
12163,1.2269938650306749,0.0
12164,1.2195121951219512,0.0
12165,1.2121212121212122,0.0
12166,1.2048192771084338,0.0
12167,1.1976047904191618,0.0
12168,1.1904761904761905,0.0
12169,1.183431952662722,0.0
12170,1.1764705882352942,0.0
12171,1.1695906432748537,0.0
12172,1.1627906976744187,0.0
12173,1.1560693641618496,0.0
12174,1.1494252873563218,0.0
12175,1.1428571428571428,0.0
12176,1.1363636363636365,0.0
12177,1.1299435028248588,0.0
12178,1.1235955056179776,0.0
12179,1.1173184357541899,0.0
12180,1.1111111111111112,0.0
12181,1.1049723756906076,0.0
12182,1.098901098901099,0.0
12183,1.639344262295082,0.0
12184,1.6304347826086956,0.0
12185,1.6216216216216217,0.0
12186,1.6129032258064515,0.0
12187,1.6042780748663104,0.0
12188,1.5957446808510638,0.0
12189,1.5873015873015872,0.0
12190,2.1052631578947367,0.0
12191,2.094240837696335,0.0
12192,2.083333333333333,0.0
12193,2.072538860103627,0.0
12194,2.0618556701030926,0.0
12195,2.051282051282051,0.0
12196,2.0408163265306123,0.0
12197,2.030456852791878,0.0
12198,2.0202020202020203,0.0
12199,2.0100502512562812,0.0
12200,2.0,0.0
12201,1.9900497512437811,0.0
12202,1.9801980198019802,0.0
12203,1.9704433497536946,0.0
12204,1.9607843137254901,0.0
12205,1.951219512195122,0.0
12206,1.9417475728155338,0.0
12207,1.932367149758454,0.0
12208,2.403846153846154,0.0
12209,2.3923444976076556,0.0
12210,2.380952380952381,0.0
12211,2.3696682464454977,0.0
12212,2.358490566037736,0.0
12213,2.3474178403755865,0.0
12214,2.336448598130841,0.0
12215,2.3255813953488373,0.0
12216,2.314814814814815,0.0
12217,2.3041474654377883,0.0
12218,2.293577981651376,0.0
12219,2.28310502283105,0.0
12220,2.272727272727273,0.0
12221,2.262443438914027,0.0
12222,2.2522522522522523,0.0
12223,2.242152466367713,0.0
12224,2.232142857142857,0.0
12225,2.2222222222222223,0.0
12226,2.2123893805309733,0.0
12227,2.2026431718061676,0.0
12228,2.1929824561403506,0.0
12229,2.1834061135371177,0.0
12230,2.1739130434782608,0.0
12231,2.1645021645021645,0.0
12232,2.1551724137931036,0.0
12233,2.1459227467811157,0.0
12234,2.1367521367521367,0.0
12235,2.127659574468085,0.0
12236,2.11864406779661,0.0
12237,2.109704641350211,0.0
12238,2.100840336134454,0.0
12239,2.092050209205021,0.0
12240,2.083333333333333,0.0
12241,2.0746887966804977,0.0
12242,2.066115702479339,0.0
12243,2.05761316872428,0.0
12244,2.0491803278688523,0.0
12245,2.0408163265306123,0.0
12246,2.0325203252032518,0.0
12247,2.0242914979757085,0.0
12248,2.0161290322580645,0.0
12249,2.0080321285140563,0.0
12250,2.0,0.0
12251,1.9920318725099602,0.0
12252,1.984126984126984,0.0
12253,1.9762845849802373,0.0
12254,1.968503937007874,0.0
12255,1.9607843137254901,0.0
12256,1.953125,0.0
12257,1.9455252918287937,0.0
12258,1.937984496124031,0.0
12259,1.9305019305019304,0.0
12260,1.9230769230769231,0.0
12261,1.9157088122605364,0.0
12262,1.9083969465648856,0.0
12263,1.9011406844106464,0.0
12264,1.893939393939394,0.0
12265,1.8867924528301887,0.0
12266,1.8796992481203008,0.0
12267,1.8726591760299627,0.0
12268,1.8656716417910446,0.0
12269,1.858736059479554,0.0
12270,1.8518518518518516,0.0
12271,1.8450184501845017,0.0
12272,1.8382352941176472,0.0
12273,1.8315018315018317,0.0
12274,1.824817518248175,0.0
12275,1.8181818181818181,0.0
12276,1.8115942028985508,0.0
12277,1.8050541516245486,0.0
12278,1.7985611510791366,0.0
12279,1.7921146953405016,0.0
12280,1.7857142857142856,0.0
12281,1.7793594306049825,0.0
12282,1.773049645390071,0.0
12283,1.76678445229682,0.0
12284,1.7605633802816902,0.0
12285,2.1052631578947367,0.0
12286,2.097902097902098,0.0
12287,2.0905923344947737,0.0
12288,2.083333333333333,0.0
12289,2.0761245674740483,0.0
12290,2.0689655172413794,0.0
12291,2.0618556701030926,0.0
12292,2.054794520547945,0.0
12293,2.04778156996587,0.0
12294,2.0408163265306123,0.0
12295,2.0338983050847457,0.0
12296,2.027027027027027,0.0
12297,2.0202020202020203,0.0
12298,2.013422818791946,0.0
12299,2.0066889632107023,0.0
12300,2.0,0.0
12301,2.3255813953488373,0.0
12302,2.3178807947019866,0.0
12303,2.31023102310231,0.0
12304,2.302631578947368,0.0
12305,2.2950819672131146,0.0
12306,2.287581699346405,0.0
12307,2.2801302931596092,0.0
12308,2.272727272727273,0.0
12309,2.26537216828479,0.0
12310,2.258064516129032,0.0
12311,2.2508038585209005,0.0
12312,2.2435897435897436,0.0
12313,2.2364217252396164,0.0
12314,2.229299363057325,0.0
12315,2.2222222222222223,0.0
12316,2.2151898734177213,0.0
12317,2.2082018927444795,0.0
12318,2.20125786163522,0.0
12319,2.19435736677116,0.0
12320,2.1875,0.0
12321,2.1806853582554515,0.0
12322,2.1739130434782608,0.0
12323,2.1671826625387,0.0
12324,2.1604938271604937,0.0
12325,2.1538461538461537,0.0
12326,2.147239263803681,0.0
12327,2.1406727828746175,0.0
