t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,RATING1,RATING2,RATING3,,,
133,"1,26",1,"0,6165413534",0,"0,4887218045",0,"0,3984962406",0,"0,2932330827",0,"0,1428571429",0,"0,0977443609",0,"0,03007518797",0,"0,01503759398",0,"0,5833333333","0,4986320084","-0,8652360595","-0,01189369019","0,03333333333","0,05","0,1","0,01666666667","0,08333333333","0,08333333333"
134,"1,13",0,"0,6119402985",0,"0,4850746269",0,"0,3955223881",0,"0,2910447761",0,"0,1417910448",0,"0,09701492537",0,"0,02985074627",0,"0,01492537313",0,"0,5833333333","0,4986320084","-0,8748018644","-0,009565804906","0,03333333333","0,03333333333","0,1","0,03333333333","0,08333333333","0,06666666667"
135,"1,1",0,"0,6074074074",0,"0,4814814815",0,"0,3925925926",0,"0,2888888889",0,"0,1407407407",0,"0,0962962963",0,"0,02962962963",0,"0,01481481481",0,"0,5666666667","0,5008190014","-0,8786378193","-0,003835954919",0,0,"0,08333333333","0,03333333333","0,06666666667","0,05"
136,"9,16",0,"0,6029411765",0,"0,4779411765",0,"0,3897058824",0,"0,2867647059",0,"0,1397058824",0,"0,09558823529",0,"0,02941176471",0,"0,01470588235",0,"0,55","0,5024529992","-0,8741686905","0,004469128872","-0,03333333333",0,"0,05","0,01666666667","0,05","0,03333333333"
137,"1,58",1,"0,6058394161",1,"0,4817518248",1,"0,3941605839",1,"0,2919708029",1,"0,1459854015",0,"0,09489051095",0,"0,02919708029",0,"0,01459854015",1,"0,5333333333","0,5024529992","-0,8729543136","0,001214376894","-0,05","-0,01666666667","0,03333333333","0,01666666667","0,05","0,01666666667"
138,"1,71",0,"0,6014492754",0,"0,4782608696",0,"0,3913043478",0,"0,2898550725",0,"0,1449275362",0,"0,09420289855",0,"0,02898550725",0,"0,01449275362",0,"0,55","0,5024529992","-0,8684298516","0,004524461991","-0,03333333333","0,01666666667","0,03333333333","0,03333333333","0,06666666667","0,03333333333"
139,"1,36",0,"0,5971223022",0,"0,4748201439",0,"0,3884892086",0,"0,2877697842",0,"0,1438848921",0,"0,09352517986",0,"0,02877697842",0,"0,01438848921",0,"0,55","0,5024529992","-0,8639170663","0,004512785235","-0,03333333333",0,"0,03333333333","0,03333333333","0,05","0,03333333333"
140,"4,41",0,"0,5928571429",0,"0,4714285714",0,"0,3857142857",0,"0,2857142857",0,"0,1428571429",0,"0,09285714286",0,"0,02857142857",0,"0,01428571429",0,"0,5333333333","0,5035393853","-0,8626193819","0,001297684495","-0,05","-0,01666666667","0,01666666667","0,03333333333","0,01666666667","0,01666666667"
141,"5,69",1,"0,5957446809",1,"0,475177305",1,"0,390070922",1,"0,2907801418",0,"0,1418439716",0,"0,09219858156",0,"0,02836879433",0,"0,01418439716",1,"0,5166666667","0,5035393853","-0,8657536797","-0,003134297839","-0,05","-0,05",0,"0,01666666667",0,"0,01666666667"
142,"1,41",1,"0,5985915493",1,"0,4788732394",1,"0,3943661972",1,"0,2957746479",0,"0,1408450704",0,"0,09154929577",0,"0,02816901408",0,"0,01408450704",1,"0,5166666667","0,5035393853","-0,8649482098","0,0008054699006","-0,03333333333","-0,06666666667","-0,01666666667","0,01666666667",0,"0,01666666667"
