,Odd,Odd_Categoria,odd_entrada
598,3.4,8,2.0
599,1.87,6,8.0
600,1.73,6,6.0
601,1.9,6,6.0
602,1.84,6,6.0
603,1.03,1,6.0
604,4.67,9,1.0
605,4.6,9,9.0
606,1.34,4,9.0
607,1.14,2,4.0
608,1.2,3,2.0
609,0.0,1,3.0
610,1.24,3,1.0
611,2.97,8,3.0
612,2.37,7,8.0
613,2.63,8,7.0
614,1.31,4,8.0
615,5.24,10,4.0
616,1.14,2,10.0
617,4.72,9,2.0
618,2.82,8,9.0
619,1.06,2,8.0
620,4.46,9,2.0
621,1.25,3,9.0
622,81.19,11,3.0
623,191.7,11,11.0
624,1.01,1,11.0
625,2.54,7,1.0
626,1.5,5,7.0
627,1.28,3,5.0
628,2.07,6,3.0
629,3.41,8,6.0
630,1.07,2,8.0
631,2.4,7,2.0
632,1.33,4,7.0
633,1.04,1,4.0
634,4.68,9,1.0
635,1.6,5,9.0
636,2.04,6,5.0
637,2.43,7,6.0
638,3.98,9,7.0
639,1.78,6,9.0
640,1.56,5,6.0
641,1.41,4,5.0
642,2.71,8,4.0
643,1.22,3,8.0
644,4.85,9,3.0
645,2.09,6,9.0
646,2.31,7,6.0
647,1.24,3,7.0
648,33.81,11,3.0
649,0.0,1,11.0
650,5.34,10,1.0
651,1.32,4,10.0
652,1.13,2,4.0
653,1.94,6,2.0
654,1.12,2,6.0
655,1.18,3,2.0
656,85.96,11,3.0
657,10.14,11,11.0
658,1.52,5,11.0
659,5.44,10,5.0
660,2.46,7,10.0
661,7.25,10,7.0
662,2.18,7,10.0
663,3.01,8,7.0
664,0.0,1,8.0
665,2.74,8,1.0
666,1.16,3,8.0
667,1.5,5,3.0
668,1.15,3,5.0
669,1.17,3,3.0
670,1.97,6,3.0
671,2.7,8,6.0
672,4.44,9,8.0
673,54.34,11,9.0
674,3.1,8,11.0
675,1.0,1,8.0
676,61.71,11,1.0
677,2.07,6,11.0
678,1.0,1,6.0
679,1.87,6,1.0
680,1.07,2,6.0
681,1.05,2,2.0
682,2.82,8,2.0
683,2.5,7,8.0
684,10.81,11,7.0
685,6.19,10,11.0
686,6.9,10,10.0
687,2.76,8,10.0
