,Odd,Odd_Categoria,odd_entrada
596,15.28,11,7.0
597,7.71,10,11.0
598,1.0,1,10.0
599,1.43,4,1.0
600,1.01,1,4.0
601,1.3,4,1.0
602,4.22,9,4.0
603,2.28,7,9.0
604,1.87,6,7.0
605,17.93,11,6.0
606,1.31,4,11.0
607,2.35,7,4.0
608,1.19,3,7.0
609,1.56,5,3.0
610,10.3,11,5.0
611,2.0,6,11.0
612,1.94,6,6.0
613,1.13,2,6.0
614,1.07,2,2.0
615,44.76,11,2.0
616,1.57,5,11.0
617,1.07,2,5.0
618,7.77,10,2.0
619,10.64,11,10.0
620,1.17,3,11.0
621,1.04,1,3.0
622,1.78,6,1.0
623,1.13,2,6.0
624,1.38,4,2.0
625,10.67,11,4.0
626,13.68,11,11.0
627,3.43,8,11.0
628,3.97,9,8.0
629,1.16,3,9.0
630,2.56,7,3.0
631,4.11,9,7.0
632,4.14,9,9.0
633,0.0,1,9.0
634,9.81,10,1.0
635,1.54,5,10.0
636,2.55,7,5.0
637,1.08,2,7.0
638,3.45,8,2.0
639,2.12,7,8.0
640,4.5,9,7.0
641,1.11,2,9.0
642,3.14,8,2.0
643,1.73,6,8.0
644,1.48,5,6.0
645,10.51,11,5.0
646,1.73,6,11.0
647,11.24,11,6.0
648,1.53,5,11.0
649,1.17,3,5.0
650,1.7,6,3.0
651,1.49,5,6.0
652,1.4,4,5.0
653,3.17,8,4.0
654,2.2,7,8.0
655,40.0,11,7.0
656,2.8,8,11.0
657,2.85,8,8.0
658,5.23,10,8.0
659,0.0,1,10.0
660,5.89,10,1.0
661,1.26,3,10.0
662,2.45,7,3.0
663,1.0,1,7.0
664,1.27,3,1.0
665,1.38,4,3.0
666,1.13,2,4.0
667,1.05,2,2.0
668,56.23,11,2.0
669,1.79,6,11.0
670,1.81,6,6.0
671,1.16,3,6.0
672,2.05,6,3.0
673,3.5,9,6.0
674,1.77,6,9.0
675,0.0,1,6.0
676,9.55,10,1.0
677,67.97,11,10.0
678,2.45,7,11.0
679,1.14,2,7.0
680,1.25,3,2.0
681,1.27,3,3.0
682,5.56,10,3.0
683,2.05,6,10.0
684,8.5,10,6.0
685,4.0,9,10.0
686,1.23,3,9.0
687,1.78,6,3.0
688,2.12,7,6.0
689,1.38,4,7.0
690,2.01,6,4.0
691,1.99,6,6.0
692,1.07,2,6.0
693,5.42,10,2.0
694,1.38,4,10.0
695,1.03,1,4.0
696,1.43,4,1.0
697,2.98,8,4.0
698,1.87,6,8.0
699,155.27,11,6.0
700,1.17,3,11.0
701,1.43,4,3.0
702,1.0,1,4.0
703,5.94,10,1.0
704,2.0,6,10.0
705,3.03,8,6.0
706,1.02,1,8.0
707,1.9,6,1.0
708,3.28,8,6.0
709,1.64,5,8.0
710,1.61,5,5.0
711,1.86,6,5.0
712,3.04,8,6.0
713,3.65,9,8.0
714,6.16,10,9.0
715,3.55,9,10.0
716,58.05,11,9.0
717,2.85,8,11.0
718,1.58,5,8.0
719,5.97,10,5.0
720,1.25,3,10.0
721,1.14,2,3.0
722,2.31,7,2.0
723,1.01,1,7.0
724,8.37,10,1.0
725,38.81,11,10.0
726,1.84,6,11.0
727,1.45,5,6.0
728,1.66,5,5.0
729,3.09,8,5.0
730,1.41,4,8.0
731,1.04,1,4.0
732,3.08,8,1.0
733,1.19,3,8.0
734,3.24,8,3.0
735,1.55,5,8.0
736,22.22,11,5.0
737,3.36,8,11.0
738,3.07,8,8.0
739,3.14,8,8.0
740,5.24,10,8.0
741,1.25,3,10.0
742,1.36,4,3.0
743,9.06,10,4.0
744,2.27,7,10.0
745,4.15,9,7.0
746,1.99,6,9.0
747,1.18,3,6.0
748,1.52,5,3.0
749,8.48,10,5.0
750,2.11,7,10.0
751,1.37,4,7.0
752,1.03,1,4.0
753,12.2,11,1.0
754,3.82,9,11.0
755,25.46,11,9.0
756,1.86,6,11.0
757,85.22,11,6.0
758,26.62,11,11.0
759,1.1,2,11.0
760,23.27,11,2.0
761,1.6,5,11.0
762,6.23,10,5.0
763,1.06,2,10.0
764,1.08,2,2.0
765,1.88,6,2.0
766,1.05,2,6.0
767,1.0,1,2.0
768,6.08,10,1.0
769,93.43,11,10.0
770,11.94,11,11.0
771,1.71,6,11.0
772,1.3,4,6.0
773,2.0,6,4.0
774,4.77,9,6.0
775,11.4,11,9.0
776,1.11,2,11.0
777,1.14,2,2.0
778,1.26,3,2.0
779,1.11,2,3.0
780,3.5,9,2.0
781,1.23,3,9.0
782,1.32,4,3.0
783,1.56,5,4.0
784,6.17,10,5.0
785,12.81,11,10.0
786,9.46,10,11.0
787,1.15,3,10.0
788,2.41,7,3.0
789,14.77,11,7.0
790,1.39,4,11.0
791,1.61,5,4.0
792,2.22,7,5.0
793,1.36,4,7.0
794,1.37,4,4.0
795,40.47,11,4.0
796,7.8,10,11.0
797,1.83,6,10.0
798,13.12,11,6.0
799,4.92,9,11.0
800,1.1,2,9.0
801,1.85,6,2.0
802,10.09,11,6.0
803,28.64,11,11.0
804,1.99,6,11.0
805,1.58,5,6.0
806,1.2,3,5.0
807,1.9,6,3.0
808,2.55,7,6.0
809,18.52,11,7.0
810,1.33,4,11.0
811,1.09,2,4.0
812,2.09,6,2.0
813,51.68,11,6.0
814,747.84,11,11.0
815,1.4,4,11.0
816,1.5,5,4.0
817,1.21,3,5.0
818,1.22,3,3.0
819,6.88,10,3.0
820,1.52,5,10.0
821,2.45,7,5.0
822,1.01,1,7.0
823,64.83,11,1.0
824,27.91,11,11.0
825,1.29,3,11.0
826,1.99,6,3.0
827,3.62,9,6.0
828,1.47,5,9.0
829,4.71,9,5.0
830,16.02,11,9.0
831,1.33,4,11.0
832,1.41,4,4.0
833,1.23,3,4.0
834,1.47,5,3.0
835,3.23,8,5.0
836,14.17,11,8.0
837,2.22,7,11.0
838,1.18,3,7.0
839,1.85,6,3.0
840,1.36,4,6.0
841,1.0,1,4.0
842,1.15,3,1.0
843,1.11,2,3.0
844,142.2,11,2.0
845,3.36,8,11.0
846,5.29,10,8.0
847,30.64,11,10.0
848,1.62,5,11.0
849,14.31,11,5.0
850,1.94,6,11.0
851,1.17,3,6.0
852,1.18,3,3.0
853,1.72,6,3.0
854,1.3,4,6.0
855,1.1,2,4.0
856,1.36,4,2.0
857,2.52,7,4.0
858,18.14,11,7.0
859,1.18,3,11.0
860,4.43,9,3.0
861,4.45,9,9.0
862,2.24,7,9.0
863,3.43,8,7.0
864,1.02,1,8.0
865,4.53,9,1.0
866,1.6,5,9.0
867,1.05,2,5.0
868,1.01,1,2.0
869,1.0,1,1.0
870,8.74,10,1.0
871,1.52,5,10.0
872,2.29,7,5.0
873,1.34,4,7.0
874,1.63,5,4.0
875,2.21,7,5.0
876,25.71,11,7.0
877,4.83,9,11.0
