t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
520,"1,19",1,"0,5461538462",1,"0,4461538462",1,"0,3538461538",0,"0,2557692308",0,"0,1711538462",0,"0,08846153846",0,"0,04423076923",0,"0,009615384615",1,"0,4333333333","0,5008190014",1,0,"0,798643293","0,007039301984","-0,1139598759","-0,001746842247","0,07002827805","0,00006171316294","-0,01666666667","-0,05","-0,03333333333","-0,1",0,"-0,01666666667"
521,"1,7",0,"0,5451055662",0,"0,4452975048",0,"0,3531669866",0,"0,2552783109",0,"0,1708253359",0,"0,08829174664",0,"0,04414587332",0,"0,009596928983",0,"0,45","0,5008190014",0,0,"0,798643293",0,"-0,1139598759","-0,001746842247","0,07002827805","0,00006171316294",0,"-0,03333333333","-0,03333333333","-0,08333333333","0,03333333333","0,01666666667"
522,"2,5",0,"0,5440613027",0,"0,4444444444",0,"0,3524904215",0,"0,254789272",0,"0,1704980843",0,"0,08812260536",0,"0,04406130268",0,"0,009578544061",0,"0,4333333333","0,4986320084",1,1,"0,8006172637","0,001973970735","-0,07043673987","-0,001074979844","0,1157927901","0,0001047528961","-0,01666666667","-0,03333333333","-0,05","-0,08333333333","0,01666666667",0
523,"1,41",1,"0,5449330784",1,"0,4455066922",0,"0,3518164436",0,"0,2543021033",0,"0,1701720841",0,"0,0879541109",0,"0,04397705545",0,"0,009560229446",1,"0,4333333333","0,5008190014",0,0,"0,798643293","-0,001973970735","-0,1139598759","-0,001746842247","0,07002827805","0,00006171316294",0,"-0,03333333333","-0,05","-0,06666666667","0,01666666667",0
524,"1,29",0,"0,5438931298",0,"0,4446564885",0,"0,3511450382",0,"0,2538167939",0,"0,1698473282",0,"0,08778625954",0,"0,04389312977",0,"0,009541984733",0,"0,4333333333","0,4986320084",0,1,"0,7905778045","-0,008065488521","-0,06103688777","-0,0009182119502","0,142833551","0,0001253239132","-0,01666666667","-0,01666666667","-0,05","-0,05",0,0
525,"1,45",0,"0,5428571429",0,"0,4438095238",0,"0,3504761905",0,"0,2533333333",0,"0,1695238095",0,"0,08761904762",0,"0,04380952381",0,"0,009523809524",0,"0,4333333333","0,4986320084",0,0,"0,7957452576","0,005167453103","-0,06981076098","-0,0010346681","0,1312699573","0,0001061274815","-0,01666666667",0,"-0,06666666667","-0,05",0,"-0,01666666667"
526,"1,38",0,"0,5418250951",0,"0,4429657795",0,"0,3498098859",0,"0,252851711",0,"0,1692015209",0,"0,08745247148",0,"0,04372623574",0,"0,009505703422",0,"0,4166666667","0,4958847037",1,1,"0,7825093813","-0,0132358763","-0,005469937181","-0,00008062348831","0,2165246634","0,0001889346634","-0,01666666667","-0,03333333333","-0,08333333333","-0,06666666667","-0,03333333333","-0,03333333333"
527,"18,89",0,"0,5407969639",0,"0,4421252372",0,"0,3491461101",0,"0,2523719165",0,"0,1688804554",0,"0,08728652751",0,"0,04364326376",0,"0,009487666034",0,"0,4166666667","0,4958847037",0,0,"0,7823947758","-0,0001146054356","0,002095733239","0,00003135357879","0,2216657551","0,0002073927708","-0,03333333333","-0,03333333333","-0,1","-0,05","-0,03333333333","-0,03333333333"
528,"2,02",1,"0,5416666667",1,"0,4431818182",1,"0,3503787879",1,"0,2537878788",1,"0,1704545455",1,"0,08901515152",0,"0,04356060606",0,"0,00946969697",1,"0,4","0,4958847037",0,0,"0,8022376594","0,01984288352","-0,01882990415","-0,0002911403745","0,1569454422","0,0001596543358","-0,03333333333","-0,05","-0,1333333333","-0,06666666667","-0,05","-0,05"
529,"3,02",1,"0,5425330813",0,"0,4423440454",0,"0,3497164461",0,"0,2533081285",0,"0,1701323251",0,"0,08884688091",0,"0,04347826087",0,"0,009451795841",1,"0,4","0,4958847037",1,1,"0,8243316059","0,02209394649","-0,04820980587","-0,0007748813043","0,08774796126","0,00009610726823","-0,03333333333","-0,03333333333","-0,1166666667","-0,06666666667","-0,06666666667","-0,05"
