t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
193,"2,59",0,"0,5544041451",0,"0,4663212435",0,"0,3678756477",0,"0,2538860104",0,"0,1968911917",0,"0,09844559585",0,"0,04663212435",0,"0,00518134715",0,"0,5666666667","0,5008190014",1,1,"-0,04913039039","0,004329126852","-0,241355957","-0,007135178715","0,01049653154","0,00001183785135",0,"0,01666666667",0,"0,03333333333","0,1166666667","0,15"
194,"1,1",1,"0,5567010309",1,"0,4690721649",0,"0,3659793814",0,"0,2525773196",0,"0,1958762887",0,"0,09793814433",0,"0,04639175258",0,"0,005154639175",1,"0,55","0,5008190014",0,1,"-0,03229869138","0,01683169901","-0,218643524","-0,006409567321","-0,00001661077089","-0,00000001862302286","-0,01666666667",0,"-0,01666666667",0,"0,1166666667","0,15"
195,"1,1",0,"0,5538461538",0,"0,4666666667",0,"0,3641025641",0,"0,2512820513",0,"0,1948717949",0,"0,09743589744",0,"0,04615384615",0,"0,005128205128",0,"0,5666666667","0,5008190014",0,0,"-0,02777740031","0,004521291068","-0,2566297714","-0,007475588999","-0,00001661077089","-0,00000001862302286","-0,01666666667",0,0,"0,03333333333","0,1333333333","0,15"
196,"1,16",0,"0,5510204082",0,"0,4642857143",0,"0,362244898",0,"0,25",0,"0,193877551",0,"0,09693877551",0,"0,04591836735",0,"0,005102040816",0,"0,5666666667","0,5008190014",1,0,"-0,02322420548","0,00455319483","-0,2954328808","-0,008541610678","-0,00001661077089","-0,00000001862302286","-0,01666666667",0,"-0,01666666667","0,01666666667","0,15","0,15"
197,"1,42",0,"0,5482233503",0,"0,461928934",0,"0,3604060914",0,"0,2487309645",0,"0,192893401",0,"0,09644670051",0,"0,04568527919",0,"0,005076142132",0,"0,55","0,5024529992",0,1,"-0,01344809065","0,009776114827","-0,2848350541","-0,00811161874","-0,0175640622","-0,00001987314854","-0,03333333333",0,"-0,03333333333",0,"0,1333333333","0,1166666667"
198,"1,75",0,"0,5454545455",0,"0,4595959596",0,"0,3585858586",0,"0,2474747475",0,"0,1919191919",0,"0,09595959596",0,"0,04545454545",0,"0,005050505051",0,"0,55","0,5024529992",0,0,"-0,03052702686","-0,0170789362","-0,3277349342","-0,00914628684","-0,04751778938","-0,00005375992539","-0,01666666667","-0,01666666667","-0,03333333333",0,"0,15","0,1166666667"
199,"2,19",1,"0,5477386935",0,"0,4572864322",0,"0,3567839196",0,"0,2462311558",0,"0,1909547739",0,"0,09547738693",0,"0,04522613065",0,"0,005025125628",0,"0,5333333333","0,5035393853",1,1,"-0,05822266686","-0,02769564","-0,3085546051","-0,008349010123","-0,05604883977","-0,00006400751007","-0,03333333333","-0,03333333333","-0,05","-0,01666666667","0,1166666667","0,1166666667"
200,"8,22",1,"0,55",1,"0,46",0,"0,355",0,"0,245",0,"0,19",0,"0,095",0,"0,045",0,"0,005",1,"0,5333333333","0,5024529992",0,1,"-0,138679244","-0,08045657709","-0,357450772","-0,009303054734","-0,08424647515","-0,00009289369359","-0,01666666667","-0,03333333333","-0,03333333333",0,"0,1166666667","0,1166666667"
201,"4,19",1,"0,552238806",1,"0,4626865672",1,"0,3582089552",1,"0,2487562189",1,"0,1940298507",0,"0,09452736318",0,"0,0447761194",0,"0,004975124378",1,"0,5333333333","0,5024529992",0,1,"-0,2526372716","-0,1139580276","-0,3368581373","-0,008299740213","-0,04093950373","-0,00004346819662","-0,03333333333","-0,05","-0,05","-0,01666666667","0,1166666667","0,1"
202,"1,63",1,"0,5544554455",1,"0,4653465347",1,"0,3613861386",1,"0,2524752475",0,"0,1930693069",0,"0,09405940594",0,"0,04455445545",0,"0,00495049505",1,"0,5333333333","0,5024529992",0,1,"-0,3100641689","-0,05742689729","-0,3160300939","-0,007421840007","-0,01393021539","-0,0000147157799","-0,03333333333","-0,05","-0,03333333333",0,"0,1","0,1"
203,"4,31",0,"0,5517241379",0,"0,4630541872",0,"0,3596059113",0,"0,2512315271",0,"0,1921182266",0,"0,09359605911",0,"0,04433497537",0,"0,004926108374",0,"0,55","0,5024529992",0,1,"-0,4489269355","-0,1388627667","-0,3867838058","-0,008604317836","-0,07230554585","-0,00007296725847",0,"-0,03333333333","-0,01666666667",0,"0,1166666667","0,1"
204,1,1,"0,5539215686",1,"0,4656862745",1,"0,362745098",1,"0,2549019608",0,"0,1911764706",0,"0,0931372549",0,"0,04411764706",0,"0,004901960784",1,"0,5333333333","0,5024529992",0,0,"-0,5413435473","-0,09241661179","-0,3702640996","-0,00772641763","-0,04417717069","-0,00004421484175","-0,01666666667","-0,03333333333","-0,01666666667","-0,03333333333","0,1","0,08333333333"
205,"1,01",0,"0,5512195122",0,"0,4634146341",0,"0,3609756098",0,"0,2536585366",0,"0,1902439024",0,"0,09268292683",0,"0,04390243902",0,"0,00487804878",0,"0,5333333333","0,5035393853",1,1,"-0,5753325979","-0,03398905058","-0,3467888622","-0,006861954672","-0,06193709123","-0,0000628388176",0,"-0,03333333333","-0,01666666667","-0,03333333333","0,08333333333","0,08333333333"
206,"10,54",0,"0,5485436893",0,"0,4611650485",0,"0,359223301",0,"0,2524271845",0,"0,1893203883",0,"0,09223300971",0,"0,04368932039",0,"0,004854368932",0,"0,5166666667","0,5040817004",1,1,"-0,6248511993","-0,04951860142","-0,3114394967","-0,005804891158","-0,08188059405","-0,0000845186921","-0,01666666667","-0,03333333333","-0,03333333333","-0,05","0,06666666667","0,08333333333"
207,"1,14",1,"0,5507246377",1,"0,4637681159",1,"0,3623188406",1,"0,2560386473",1,"0,193236715",1,"0,09661835749",0,"0,04347826087",0,"0,004830917874",1,"0,5","0,5040817004",0,1,"-0,69250525","-0,06765405069","-0,3010128899","-0,005267401236","-0,05555575605","-0,00005821367455","-0,03333333333","-0,06666666667","-0,06666666667","-0,06666666667","0,05","0,06666666667"
208,"1,13",0,"0,5480769231",0,"0,4615384615",0,"0,3605769231",0,"0,2548076923",0,"0,1923076923",0,"0,09615384615",0,"0,04326923077",0,"0,004807692308",0,"0,5","0,5040817004",0,1,"-0,720305535","-0,02780028497","-0,2488759658","-0,004152109648","-0,08569531518","-0,0000908760364","-0,03333333333","-0,06666666667","-0,06666666667","-0,08333333333","0,03333333333","0,08333333333"
209,"2,09",0,"0,5454545455",0,"0,4593301435",0,"0,3588516746",0,"0,2535885167",0,"0,1913875598",0,"0,0956937799",0,"0,04306220096",0,"0,004784688995",0,"0,5","0,5040817004",0,0,"-0,7902589622","-0,06995342719","-0,2880247916","-0,004555227089","-0,1090389415","-0,0001171810539","-0,05","-0,05","-0,05","-0,08333333333","0,01666666667","0,08333333333"
210,"2,62",1,"0,5476190476",0,"0,4571428571",0,"0,3571428571",0,"0,2523809524",0,"0,1904761905",0,"0,09523809524",0,"0,04285714286",0,"0,004761904762",1,"0,4833333333","0,5040817004",0,1,"-0,8329125263","-0,04265356414","-0,2827550806","-0,004277523963","-0,09536496289","-0,0001036121916","-0,05","-0,06666666667","-0,08333333333","-0,1",0,"0,08333333333"
211,"1,68",1,"0,5497630332",1,"0,4597156398",0,"0,355450237",0,"0,2511848341",0,"0,1895734597",0,"0,09478672986",0,"0,04265402844",0,"0,004739336493",1,"0,4833333333","0,5040817004",0,1,"-0,846299353","-0,01338682667","-0,2794715823","-0,0041386724","-0,09079087292","-0,00009909411397","-0,05","-0,05","-0,08333333333","-0,1",0,"0,06666666667"
212,"2,72",0,"0,5471698113",0,"0,4575471698",0,"0,3537735849",0,"0,25",0,"0,1886792453",0,"0,09433962264",0,"0,04245283019",0,"0,004716981132",0,"0,4833333333","0,5035393853",0,1,"-0,8416460842","0,004653268776","-0,211343352","-0,003126399713","-0,1282587724","-0,0001392007606","-0,03333333333","-0,05","-0,08333333333","-0,08333333333",0,"0,06666666667"
213,"2,08",1,"0,5492957746",1,"0,4600938967",1,"0,3568075117",0,"0,2488262911",0,"0,1877934272",0,"0,09389671362",0,"0,04225352113",0,"0,004694835681",1,"0,4833333333","0,5040817004",0,0,"-0,846299353","-0,004653268776","-0,2794715823","-0,0041386724","-0,09079087292","-0,00009909411397","-0,01666666667","-0,05","-0,1","-0,1","-0,01666666667","0,06666666667"
214,"1,46",1,"0,5514018692",0,"0,4579439252",0,"0,3551401869",0,"0,2476635514",0,"0,1869158879",0,"0,09345794393",0,"0,04205607477",0,"0,004672897196",1,"0,4833333333","0,5040817004",0,1,"-0,846299353",0,"-0,2794715823","-0,0041386724","-0,09079087292","-0,00009909411397","-0,01666666667","-0,05","-0,1","-0,08333333333","-0,03333333333","0,05"
215,"6,11",0,"0,5488372093",0,"0,4558139535",0,"0,3534883721",0,"0,2465116279",0,"0,1860465116",0,"0,09302325581",0,"0,04186046512",0,"0,004651162791",0,"0,4833333333","0,5035393853",0,1,"-0,8416460842","0,004653268776","-0,211343352","-0,003126399713","-0,1282587724","-0,0001392007606","-0,01666666667","-0,06666666667","-0,1","-0,08333333333","-0,05","0,05"
216,"1,32",1,"0,5509259259",1,"0,4583333333",1,"0,3564814815",1,"0,25",1,"0,1898148148",0,"0,09259259259",0,"0,04166666667",0,"0,00462962963",1,"0,4666666667","0,5035393853",0,0,"-0,8268124406","0,01483364361","-0,2223653263","-0,003413061005","-0,1331706855","-0,0001438645827","-0,01666666667","-0,06666666667","-0,1","-0,08333333333","-0,08333333333","0,03333333333"
217,"2,63",0,"0,5483870968",0,"0,4562211982",0,"0,3548387097",0,"0,2488479263",0,"0,1889400922",0,"0,09216589862",0,"0,04147465438",0,"0,004608294931",0,"0,4666666667","0,5024529992",0,1,"-0,8025763156","0,02423612504","-0,1612696202","-0,002579951626","-0,1600299703","-0,0001714239938","-0,01666666667","-0,06666666667","-0,1","-0,08333333333","-0,06666666667","0,01666666667"
218,"2,4",1,"0,5504587156",1,"0,4587155963",0,"0,3532110092",0,"0,247706422",0,"0,1880733945",0,"0,09174311927",0,"0,04128440367",0,"0,004587155963",1,"0,45","0,5024529992",1,1,"-0,7735836774","0,02899263816","-0,1946373204","-0,003319000269","-0,1600299703","-0,0001714239938","-0,03333333333","-0,06666666667","-0,1","-0,1","-0,1",0
219,"1,06",1,"0,5525114155",1,"0,4611872146",0,"0,3515981735",0,"0,2465753425",0,"0,1872146119",0,"0,09132420091",0,"0,04109589041",0,"0,004566210046",1,"0,4666666667","0,5035393853",1,1,"-0,7774438642","-0,003860186808","-0,2204041783","-0,003910239183","-0,1331706855","-0,0001438645827","-0,01666666667","-0,03333333333","-0,1","-0,1","-0,08333333333","0,01666666667"
220,"1,14",0,"0,55",0,"0,4590909091",0,"0,35",0,"0,2454545455",0,"0,1863636364",0,"0,09090909091",0,"0,04090909091",0,"0,004545454545",0,"0,4666666667","0,5024529992",1,1,"-0,7666034652","0,01084039903","-0,1792869609","-0,003283167607","-0,150086804","-0,0001617892874","-0,01666666667","-0,03333333333","-0,1","-0,1","-0,08333333333",0
221,"5,16",0,"0,5475113122",0,"0,4570135747",0,"0,3484162896",0,"0,2443438914",0,"0,185520362",0,"0,09049773756",0,"0,0407239819",0,"0,004524886878",0,"0,4666666667","0,5024529992",0,0,"-0,761956165","0,0046473002","-0,1407155252","-0,002656096032","-0,150086804","-0,0001617892874","-0,01666666667","-0,03333333333","-0,08333333333","-0,08333333333","-0,08333333333","-0,01666666667"
222,"1,56",1,"0,5495495495",1,"0,4594594595",1,"0,3513513514",1,"0,2477477477",0,"0,1846846847",0,"0,09009009009",0,"0,04054054054",0,"0,004504504505",1,"0,4666666667","0,5035393853",1,1,"-0,7693054885","-0,007349323518","-0,1638127095","-0,003184627788","-0,1237581217","-0,0001345218371",0,"-0,01666666667","-0,08333333333","-0,1","-0,06666666667","-0,01666666667"
223,"1,9",0,"0,5470852018",0,"0,4573991031",0,"0,3497757848",0,"0,2466367713",0,"0,1838565022",0,"0,08968609865",0,"0,04035874439",0,"0,004484304933",0,"0,4666666667","0,5024529992",1,1,"-0,7619817362","0,007323752349","-0,1392057139","-0,002768073099","-0,1267464831","-0,0001376633346",0,"-0,01666666667","-0,06666666667","-0,1","-0,08333333333","-0,01666666667"
224,"5,25",1,"0,5491071429",0,"0,4553571429",0,"0,3482142857",0,"0,2455357143",0,"0,1830357143",0,"0,08928571429",0,"0,04017857143",0,"0,004464285714",0,"0,4666666667","0,5024529992",0,1,"-0,7611661882","0,0008155479576","-0,1052790908","-0,002141001523","-0,1267464831","-0,0001376633346","0,01666666667","-0,01666666667","-0,06666666667","-0,1","-0,06666666667","-0,01666666667"
225,"1,43",1,"0,5511111111",1,"0,4577777778",1,"0,3511111111",1,"0,2488888889",0,"0,1822222222",0,"0,08888888889",0,"0,04",0,"0,004444444444",1,"0,45","0,5024529992",0,0,"-0,7517610619","0,009405126312","-0,1369716841","-0,002880050166","-0,1267464831","-0,0001376633346","-0,01666666667","-0,03333333333","-0,08333333333","-0,1333333333","-0,1","-0,05"
226,"2,97",0,"0,5486725664",0,"0,4557522124",0,"0,3495575221",0,"0,2477876106",0,"0,1814159292",0,"0,08849557522",0,"0,03982300885",0,"0,004424778761",0,"0,4666666667","0,5024529992",0,1,"-0,7535640119","-0,001802949989","-0,1052252439","-0,00225297859","-0,1267464831","-0,0001376633346",0,"-0,01666666667","-0,06666666667","-0,1166666667","-0,1","-0,05"
227,"2,65",1,"0,550660793",1,"0,4581497797",1,"0,3524229075",0,"0,2466960352",0,"0,1806167401",0,"0,08810572687",0,"0,03964757709",0,"0,004405286344",1,"0,45","0,5024529992",0,1,"-0,747410988","0,006153023869","-0,1358434227","-0,002992027233","-0,1267464831","-0,0001376633346","-0,01666666667","-0,03333333333","-0,1","-0,1333333333","-0,1166666667","-0,08333333333"
228,"1,04",1,"0,5526315789",1,"0,4605263158",0,"0,350877193",0,"0,2456140351",0,"0,1798245614",0,"0,08771929825",0,"0,03947368421",0,"0,004385964912",1,"0,45","0,5024529992",1,0,"-0,740290105","0,007120883025","-0,1719032939","-0,003878885604","-0,1132650005","-0,0001231720882","-0,01666666667","-0,01666666667","-0,08333333333","-0,1166666667","-0,1166666667","-0,1"
229,"1,14",0,"0,5502183406",0,"0,4585152838",0,"0,3493449782",0,"0,2445414847",0,"0,1790393013",0,"0,08733624454",0,"0,03930131004",0,"0,004366812227",0,"0,45","0,5008190014",0,1,"-0,7106743909","0,02961571411","-0,1596435477","-0,00365493147","-0,08708032593","-0,0000931564515","-0,01666666667","-0,01666666667","-0,08333333333","-0,1166666667","-0,1166666667","-0,08333333333"
230,"2,58",0,"0,547826087",0,"0,4565217391",0,"0,347826087",0,"0,2434782609",0,"0,1782608696",0,"0,08695652174",0,"0,03913043478",0,"0,004347826087",0,"0,45","0,5008190014",0,1,"-0,6874560637","0,02321832716","-0,1207807607","-0,002808384843","-0,08708032593","-0,0000931564515","-0,01666666667",0,"-0,06666666667","-0,1","-0,1333333333","-0,1"
231,"3,18",1,"0,5497835498",1,"0,4588744589",0,"0,3463203463",0,"0,2424242424",0,"0,1774891775",0,"0,08658008658",0,"0,03896103896",0,"0,004329004329",1,"0,45","0,5024529992",1,1,"-0,6846810707","0,00277499306","-0,1335613088","-0,003157753292","-0,08311552647","-0,0000892853113",0,"-0,01666666667","-0,05","-0,1166666667","-0,1333333333","-0,1"
232,"8,67",1,"0,5517241379",1,"0,4612068966",1,"0,349137931",0,"0,2413793103",0,"0,1767241379",0,"0,08620689655",0,"0,03879310345",0,"0,004310344828",1,"0,45","0,5024529992",0,0,"-0,675991105","0,008689965675","-0,1753008918","-0,004192421392","-0,05226717429","-0,00005539853445","-0,01666666667","-0,01666666667","-0,05","-0,1166666667","-0,1333333333","-0,1"
233,"10,65",1,"0,5536480687",1,"0,4635193133",1,"0,3519313305",1,"0,2446351931",1,"0,1802575107",0,"0,08583690987",0,"0,03862660944",0,"0,004291845494",1,"0,4666666667","0,5035393853",1,1,"-0,6713937095","0,004597395514","-0,1748908219","-0,004174505061","-0,05808431809","-0,00006113433509","0,01666666667",0,"-0,03333333333","-0,08333333333","-0,1166666667","-0,08333333333"
234,"1,21",1,"0,5555555556",1,"0,4658119658",1,"0,3547008547",1,"0,2478632479",1,"0,1837606838",1,"0,08974358974",0,"0,03846153846",0,"0,004273504274",1,"0,4666666667","0,5035393853",0,1,"-0,6673410827","0,004052626797","-0,218175912","-0,005177819583","0,004734191195","0,000004694692711","0,01666666667",0,"-0,01666666667","-0,08333333333","-0,1","-0,06666666667"
235,"2,34",0,"0,5531914894",0,"0,4638297872",0,"0,3531914894",0,"0,2468085106",0,"0,1829787234",0,"0,08936170213",0,"0,03829787234",0,"0,004255319149",0,"0,4833333333","0,5035393853",0,0,"-0,6581678495","0,009173233132","-0,1876582285","-0,004398459196","-0,03433961206","-0,0000335514592","0,03333333333","0,01666666667",0,"-0,05","-0,1","-0,06666666667"
236,"8,52",1,"0,5550847458",1,"0,4661016949",0,"0,3516949153",0,"0,2457627119",0,"0,1822033898",0,"0,08898305085",0,"0,03813559322",0,"0,004237288136",1,"0,4833333333","0,5040817004",1,0,"-0,6475939074","0,01057394218","-0,1781008294","-0,004120756069","-0,0422219698","-0,00004078283782","0,03333333333","0,01666666667",0,"-0,05","-0,08333333333","-0,05"
237,"3,14",1,"0,5569620253",1,"0,4683544304",1,"0,3544303797",1,"0,2489451477",1,"0,1856540084",0,"0,08860759494",0,"0,03797468354",0,"0,004219409283",1,"0,4833333333","0,5040817004",0,0,"-0,6407090435","0,00688486384","-0,2096841213","-0,004815013885","0,004854604477","0,000004619057348","0,03333333333","0,03333333333",0,"-0,05","-0,08333333333","-0,06666666667"
238,"17,8",1,"0,5588235294",1,"0,4705882353",1,"0,3571428571",0,"0,2478991597",0,"0,1848739496",0,"0,08823529412",0,"0,03781512605",0,"0,004201680672",1,"0,5","0,5040817004",0,1,"-0,6220688822","0,01864016133","-0,1921652473","-0,004326793873","-0,007495590065","-0,000007006053068","0,05","0,03333333333","0,01666666667","-0,03333333333","-0,05","-0,06666666667"
239,"1,44",1,"0,5606694561",1,"0,4728033473",1,"0,359832636",1,"0,2510460251",1,"0,1882845188",1,"0,09205020921",0,"0,03765690377",0,"0,004184100418",1,"0,5166666667","0,5035393853",0,0,"-0,6135126262","0,008556255956","-0,1714238212","-0,003807220281","-0,007470410809","-0,000006979119697","0,05","0,06666666667","0,03333333333","-0,03333333333","-0,03333333333","-0,05"
240,"1,79",0,"0,5583333333",0,"0,4708333333",0,"0,3583333333",0,"0,25",0,"0,1875",0,"0,09166666667",0,"0,0375",0,"0,004166666667",0,"0,5333333333","0,5035393853",0,1,"-0,5987640475","0,0147485787","-0,1602931086","-0,00352055899","-0,03251146142","-0,00003037398303","0,06666666667","0,08333333333","0,06666666667",0,"-0,01666666667","-0,03333333333"
241,"5,42",1,"0,5601659751",0,"0,468879668",0,"0,356846473",0,"0,2489626556",0,"0,1867219917",0,"0,09128630705",0,"0,03734439834",0,"0,004149377593",0,"0,5333333333","0,5035393853",0,0,"-0,5947834037","0,003980643794","-0,1544662753","-0,003377228344","-0,04234234384","-0,00003971672858","0,05","0,08333333333","0,06666666667",0,"-0,03333333333","-0,03333333333"
242,"1,66",1,"0,5619834711",1,"0,4710743802",1,"0,3595041322",1,"0,2520661157",0,"0,1859504132",0,"0,09090909091",0,"0,03719008264",0,"0,004132231405",1,"0,5333333333","0,5024529992",1,1,"-0,5983214267","-0,003538023004","-0,1307659637","-0,002839738422","-0,03831190357","-0,00003585868035","0,05","0,08333333333","0,08333333333","0,01666666667","-0,03333333333","-0,05"
243,"1,46",0,"0,5596707819",0,"0,4691358025",0,"0,3580246914",0,"0,2510288066",0,"0,1851851852",0,"0,09053497942",0,"0,03703703704",0,"0,004115226337",0,"0,5333333333","0,5035393853",0,1,"-0,5835864545","0,01473497219","-0,1552917719","-0,003363791096","-0,03875589918","-0,0000363247424","0,05","0,08333333333","0,06666666667","0,03333333333","-0,01666666667","-0,05"
244,"1,2",0,"0,5573770492",0,"0,4672131148",0,"0,356557377",0,"0,25",0,"0,1844262295",0,"0,09016393443",0,"0,0368852459",0,"0,004098360656",0,"0,5333333333","0,5035393853",0,0,"-0,5678726697","0,01571378485","-0,1437913795","-0,003077129804","-0,06380170711","-0,00005971960573","0,03333333333","0,08333333333","0,06666666667","0,03333333333","-0,03333333333","-0,05"
245,"1,17",0,"0,5551020408",0,"0,4653061224",0,"0,3551020408",0,"0,2489795918",0,"0,1836734694",0,"0,08979591837",0,"0,03673469388",0,"0,004081632653",0,"0,5333333333","0,5035393853",1,0,"-0,5515838219","0,0162888478","-0,1320490083","-0,002790468512","-0,08896523241","-0,00008311446907","0,01666666667","0,06666666667","0,06666666667","0,03333333333","-0,03333333333","-0,05"
246,"2,02",0,"0,5528455285",0,"0,4634146341",0,"0,3536585366",0,"0,2479674797",0,"0,1829268293",0,"0,08943089431",0,"0,03658536585",0,"0,00406504065",0,"0,5166666667","0,5040817004",1,1,"-0,5383762231","0,01320759884","-0,1525866625","-0,003202544119","-0,09097165224","-0,00008517425081","-0,01666666667","0,05","0,05","0,03333333333","-0,05","-0,05"
247,"32,89",1,"0,5546558704",0,"0,4615384615",0,"0,3522267206",0,"0,2469635628",0,"0,1821862348",0,"0,08906882591",0,"0,03643724696",0,"0,004048582996",1,"0,5","0,5040817004",1,1,"-0,5159473935","0,02242882958","-0,1811982516","-0,003740034041","-0,04532334348","-0,00004123693291","-0,03333333333","0,01666666667","0,03333333333","0,01666666667","-0,08333333333","-0,08333333333"
248,"1,55",1,"0,5564516129",1,"0,4637096774",1,"0,3548387097",1,"0,25",1,"0,185483871",1,"0,09274193548",1,"0,04032258065",0,"0,004032258065",1,"0,5166666667","0,5035393853",0,1,"-0,5019846879","0,01396270553","-0,1549742095","-0,003139836961","-0,0525010222","-0,00004749881891","-0,01666666667","0,03333333333","0,05","0,03333333333","-0,06666666667","-0,05"
249,"9,14",0,"0,5542168675",0,"0,4618473896",0,"0,3534136546",0,"0,2489959839",0,"0,1847389558",0,"0,09236947791",0,"0,04016064257",0,"0,004016064257",0,"0,5166666667","0,5040817004",0,1,"-0,4680188943","0,03396579365","-0,1871818372","-0,003726596793","-0,03297836095","-0,00002885379964","-0,01666666667","0,03333333333","0,06666666667","0,03333333333","-0,06666666667","-0,05"
250,"1,85",1,"0,556",1,"0,464",1,"0,356",1,"0,252",1,"0,188",0,"0,092",0,"0,04",0,"0,004",1,"0,5","0,5040817004",0,1,"-0,4053493373","0,06266955703","-0,2284739343","-0,004398459196","0,048750097","0,0000372332471","-0,03333333333",0,"0,03333333333","0,01666666667","-0,06666666667","-0,05"
251,"6,05",1,"0,5577689243",0,"0,4621513944",0,"0,3545816733",0,"0,2509960159",0,"0,187250996",0,"0,09163346614",0,"0,03984063745",0,"0,003984063745",0,"0,5","0,5040817004",0,0,"-0,31652903","0,08882030727","-0,2717072686","-0,005038968019","0,1339812924","0,00008389837558","-0,03333333333","-0,01666666667","0,05","0,01666666667","-0,06666666667","-0,05"
252,"1,02",1,"0,5595238095",1,"0,4642857143",1,"0,3571428571",1,"0,253968254",1,"0,1904761905",0,"0,09126984127",0,"0,03968253968",0,"0,003968253968",1,"0,5","0,5040817004",0,0,"-0,2213689257","0,09516010431","-0,2460463915","-0,004376063782","0,1021713553","0,00005791839867","-0,01666666667","-0,03333333333","0,05","0,03333333333","-0,05","-0,05"
253,"1,07",0,"0,557312253",0,"0,4624505929",0,"0,3557312253",0,"0,2529644269",0,"0,1897233202",0,"0,09090909091",0,"0,0395256917",0,"0,00395256917",0,"0,5","0,5040817004",1,1,"-0,1201678125","0,1012011132","-0,2850985508","-0,00492251187","0,1719039401","0,00008536295284",0,"-0,03333333333","0,05","0,03333333333","-0,06666666667","-0,06666666667"
254,"2,23",0,"0,5551181102",0,"0,4606299213",0,"0,3543307087",0,"0,2519685039",0,"0,188976378",0,"0,0905511811",0,"0,03937007874",0,"0,003937007874",0,"0,5","0,5040817004",1,1,"-0,04899619793","0,07117161455","-0,2623797521","-0,004385021948","0,1233718553","0,0000590579353","-0,01666666667","-0,03333333333","0,05","0,05","-0,06666666667","-0,06666666667"
255,"3,59",1,"0,5568627451",1,"0,462745098",0,"0,3529411765",0,"0,2509803922",0,"0,1882352941",0,"0,09019607843",0,"0,03921568627",0,"0,003921568627",1,"0,4833333333","0,5040817004",0,1,"0,007013922918","0,05601012084","-0,301218421","-0,0049404282","0,1880611197","0,00008623978676","-0,03333333333","-0,05","0,03333333333","0,01666666667","-0,06666666667","-0,06666666667"
256,"8,89",1,"0,55859375",1,"0,46484375",1,"0,35546875",0,"0,25",0,"0,1875",0,"0,08984375",0,"0,0390625",0,"0,00390625",1,"0,5","0,5040817004",0,1,"0,1089681101","0,1019541871","-0,2750468924","-0,004340231121","0,169303632","0,00007379703119",0,"-0,03333333333","0,05","0,03333333333","-0,05","-0,06666666667"
257,"3,27",1,"0,560311284",1,"0,46692607",1,"0,3579766537",1,"0,2529182879",1,"0,1906614786",0,"0,08949416342",0,"0,03891050584",0,"0,003891050584",1,"0,5166666667","0,5035393853",1,0,"0,2398214534","0,1308533433","-0,235834056","-0,003574307982","0,136081814","0,00005537401904","0,01666666667","-0,01666666667","0,05","0,05","-0,01666666667","-0,05"
258,"1,4",1,"0,5620155039",1,"0,4689922481",1,"0,3604651163",0,"0,2519379845",0,"0,1899224806",0,"0,08914728682",0,"0,03875968992",0,"0,003875968992",1,"0,5333333333","0,5024529992",0,1,"0,2524695269","0,01264807354","-0,1880112855","-0,00280390576","0,1029584656","0,00004180517204","0,03333333333","0,01666666667","0,06666666667","0,06666666667",0,"-0,03333333333"
259,"2,07",0,"0,5598455598",0,"0,4671814672",0,"0,3590733591",0,"0,250965251",0,"0,1891891892",0,"0,0888030888",0,"0,03861003861",0,"0,003861003861",0,"0,55","0,5024529992",1,0,"0,2524695269",0,"-0,1880112855","-0,00280390576","0,1029584656","0,00004180517204","0,05","0,05","0,06666666667","0,08333333333","0,01666666667","-0,03333333333"
260,"1,2",1,"0,5615384615",0,"0,4653846154",0,"0,3576923077",0,"0,25",0,"0,1884615385",0,"0,08846153846",0,"0,03846153846",0,"0,003846153846",1,"0,55","0,5008190014",1,1,"0,1432445545","-0,1092249725","-0,1363857392","-0,002055898952","0,06074504837","0,00002630651781","0,05","0,03333333333","0,06666666667","0,08333333333","0,01666666667","-0,03333333333"
261,"2,26",0,"0,5593869732",0,"0,4636015326",0,"0,3563218391",0,"0,2490421456",0,"0,1877394636",0,"0,08812260536",0,"0,03831417625",0,"0,003831417625",0,"0,55","0,5024529992",1,1,"0,1333443725","-0,009900181991","-0,1843750955","-0,002826301174","0,09009509142","0,00003914427533","0,06666666667","0,03333333333","0,06666666667","0,1",0,"-0,03333333333"
262,"3756,47",1,"0,5610687023",1,"0,465648855",0,"0,3549618321",0,"0,2480916031",0,"0,1870229008",0,"0,08778625954",0,"0,03816793893",0,"0,003816793893",1,"0,5333333333","0,5024529992",1,1,"0,1333443725",0,"-0,1843750955","-0,002826301174","0,09009509142","0,00003914427533","0,03333333333","0,03333333333","0,03333333333","0,06666666667",0,"-0,03333333333"
263,"26,37",1,"0,5627376426",1,"0,4676806084",1,"0,3574144487",1,"0,2509505703",1,"0,1901140684",1,"0,09125475285",1,"0,04182509506",1,"0,007604562738",1,"0,5333333333","0,5024529992",0,0,"0,1333443725",0,"-0,1843750955","-0,002826301174","0,09009509142","0,00003914427533","0,01666666667","0,03333333333","0,01666666667","0,08333333333",0,"-0,03333333333"
