Acuracia,Precisao
0.0,68.3982683982684
0.0,68.53448275862068
0.0,68.24034334763948
50.0,68.37606837606837
50.0,68.51063829787233
50.0,68.64406779661016
50.0,68.77637130801688
50.0,68.90756302521008
50.0,69.0376569037657
50.0,69.16666666666667
50.0,69.29460580912863
50.0,69.42148760330579
50.0,69.54732510288066
50.0,69.67213114754098
50.0,69.79591836734694
50.0,69.51219512195121
50.0,69.63562753036437
50.0,69.75806451612904
50.0,69.87951807228916
50.0,70.0
50.0,69.7211155378486
50.0,69.84126984126983
50.0,69.56521739130434
50.0,69.29133858267717
50.0,69.01960784313725
50.0,68.75
50.0,68.8715953307393
50.0,68.9922480620155
50.0,68.72586872586872
50.0,68.84615384615384
50.0,68.96551724137932
50.0,69.08396946564885
50.0,69.20152091254754
50.0,69.31818181818183
50.0,69.0566037735849
50.0,69.17293233082707
50.0,69.28838951310861
50.0,69.40298507462687
50.0,69.14498141263941
50.0,69.25925925925925
50.0,69.00369003690037
50.0,69.11764705882352
50.0,69.23076923076923
50.0,68.97810218978103
50.0,69.0909090909091
50.0,68.84057971014492
50.0,68.95306859205776
50.0,68.70503597122301
50.0,68.45878136200717
50.0,68.21428571428572
50.0,67.97153024911033
50.0,67.73049645390071
50.0,67.84452296819788
50.0,67.95774647887323
50.0,68.0701754385965
50.0,68.18181818181817
50.0,68.29268292682927
50.0,68.40277777777779
50.0,68.5121107266436
50.0,68.62068965517241
50.0,68.38487972508591
50.0,68.4931506849315
50.0,68.60068259385666
50.0,68.70748299319727
50.0,68.8135593220339
50.0,68.91891891891892
50.0,68.68686868686868
50.0,68.45637583892618
50.0,68.22742474916387
50.0,68.0
50.0,68.10631229235881
66.66666666666666,68.21192052980133
50.0,67.98679867986799
40.0,67.76315789473685
33.33333333333333,67.54098360655738
33.33333333333333,67.3202614379085
33.33333333333333,67.42671009771986
28.57142857142857,67.20779220779221
28.57142857142857,67.31391585760518
28.57142857142857,67.41935483870968
28.57142857142857,67.52411575562701
28.57142857142857,67.62820512820514
28.57142857142857,67.41214057507987
28.57142857142857,67.51592356687898
25.0,67.3015873015873
25.0,67.08860759493672
25.0,66.8769716088328
25.0,66.98113207547169
25.0,67.0846394984326
33.33333333333333,67.1875
30.0,66.97819314641744
36.36363636363637,67.08074534161491
41.66666666666667,67.18266253869969
46.15384615384615,67.28395061728395
